family,run_name,seed,best_metrics.test/accuracy,best_metrics.test/f1,best_metrics.test/mcc,best_metrics.test/pr_auc,best_metrics.test/precision,best_metrics.test/recall,best_metrics.test/roc_auc,best_metrics.val/accuracy,best_metrics.val/f1,best_metrics.val/mcc,best_metrics.val/pr_auc,best_metrics.val/precision,best_metrics.val/recall,best_metrics.val/roc_auc,parameter_size_bytes,benchmark.latency_mean_seconds,benchmark.latency_std_seconds,benchmark.peak_memory_bytes
Transformer-reconstruction-quant,119-lay2-mod64-lat2-ff196,42,0.8125784,0.81057924,0.63408804,0.91175133,0.87619317,0.7541077,0.87890214,0.82883465,0.82549065,0.66897947,0.9255278,0.9015509,0.76126564,0.88849133,385004,0.0016025064,2.7627351e-05,230400
Transformer-reconstruction-quant,119-lay2-mod64-lat2-ff196,43,0.7999048,0.7935927,0.6137548,0.9054211,0.87892866,0.723361,0.8655402,0.80469763,0.7944457,0.6294918,0.9103448,0.9021818,0.7096958,0.8667533,385004,0.00171369,7.890624e-05,230400
Transformer-reconstruction-quant,119-lay2-mod64-lat2-ff196,44,0.7908214,0.7898305,0.5890368,0.9055883,0.8479843,0.73914105,0.8672286,0.80387574,0.799345,0.61958724,0.9117729,0.8766259,0.734586,0.8697513,385004,0.0016248844,4.0149356e-05,230400
Transformer-reconstruction-quant,120-lay2-mod96-lat4-ff196,42,0.78147846,0.7823727,0.56848973,0.89076126,0.8315934,0.738653,0.85229003,0.78012806,0.7773446,0.5692749,0.8991176,0.84224015,0.72173417,0.8516607,771252,0.0017652661,3.633439e-05,230400
Transformer-reconstruction-quant,120-lay2-mod96-lat4-ff196,43,0.74155456,0.7610478,0.4801331,0.8712538,0.74856424,0.77395475,0.8340913,0.7319837,0.75629324,0.4605218,0.8834587,0.7322163,0.78200746,0.83610684,771252,0.0019256376,4.2922526e-05,230400
Transformer-reconstruction-quant,120-lay2-mod96-lat4-ff196,44,0.78338164,0.7741295,0.58337766,0.8939916,0.8687993,0.6980641,0.84451103,0.79773337,0.78393865,0.6203155,0.89685357,0.9074668,0.6900114,0.84044904,771252,0.0019482301,5.93936e-05,230400
Transformer-reconstruction-quant,121-lay2-mod96-lat8-ff196,42,0.5317704,0.6943213,0.0,0.8077539,0.5317704,1.0,0.73236877,0.5317934,0.6943409,0.0,0.82189804,0.5317934,1.0,0.71987885,772036,0.0016688961,3.900793e-05,230400
Transformer-reconstruction-quant,121-lay2-mod96-lat8-ff196,43,0.73048145,0.7266266,0.46971837,0.85008496,0.78874177,0.6735806,0.796005,0.7578943,0.74149,0.5388402,0.8667079,0.85786045,0.6529201,0.79332936,772036,0.0016709818,3.9959246e-05,230400
Transformer-reconstruction-quant,121-lay2-mod96-lat8-ff196,44,0.70872444,0.6858849,0.44134185,0.82844263,0.8040245,0.5980153,0.7559087,0.7199585,0.6981818,0.46419653,0.8347754,0.81782436,0.6090776,0.7418869,772036,0.0016826025,4.014954e-05,230400
Transformer-reconstruction-quant,122-lay2-mod96-lat12-ff196,42,0.71499634,0.73522204,0.4268848,0.8530025,0.7265507,0.74410284,0.7957512,0.6863483,0.70511204,0.37014645,0.8445362,0.7050834,0.7051407,0.7656674,772820,0.0016819738,4.4637407e-05,230400
Transformer-reconstruction-quant,122-lay2-mod96-lat12-ff196,43,0.53250575,0.69463754,0.027538525,0.76031506,0.5321645,0.99991864,0.6843954,0.5318367,0.6943605,0.007009499,0.796545,0.5318164,1.0,0.69138795,772820,0.0016692153,3.454752e-05,230400
Transformer-reconstruction-quant,122-lay2-mod96-lat12-ff196,44,0.5312081,0.6938245,-0.020505207,0.75681907,0.5315097,0.99886125,0.66787434,0.5317934,0.6943409,0.0,0.7817579,0.5317934,1.0,0.66413903,772820,0.0016674569,3.3715576e-05,230400
Transformer-reconstruction-quant,123-lay2-mod96-lat16-ff196,42,0.6359704,0.72295743,0.28656527,0.82113445,0.60722184,0.8931999,0.7723379,0.6337486,0.7227116,0.2833482,0.8385373,0.6049011,0.897511,0.77565485,773604,0.0016679894,4.0086452e-05,230400
Transformer-reconstruction-quant,123-lay2-mod96-lat16-ff196,43,0.56983435,0.7090319,0.1847986,0.77438897,0.5536669,0.98560274,0.705968,0.5404447,0.69610983,0.071609,0.7957971,0.5368393,0.9897511,0.7063883,773604,0.0017013774,8.956304e-05,230400
