family,run_name,seed,best_epoch,total_epochs,best_metrics.test/accuracy,best_metrics.test/f1,best_metrics.test/mcc,best_metrics.test/pr_auc,best_metrics.test/precision,best_metrics.test/recall,best_metrics.test/roc_auc,best_metrics.val/accuracy,best_metrics.val/f1,best_metrics.val/mcc,best_metrics.val/pr_auc,best_metrics.val/precision,best_metrics.val/recall,best_metrics.val/roc_auc,best_metrics.train/loss,last_metrics.train/loss,parameter_count,benchmark.latency_mean_seconds,benchmark.latency_std_seconds,benchmark.peak_memory_bytes
Transformer-reconstruction,125-lay3-mod32-lat4-ff196,42,60,110,0.82732815,0.83197236,0.6565303,0.9270497,0.86209,0.8038881,0.89554274,0.8297863,0.83518326,0.66079,0.9287081,0.86089283,0.8109647,0.8973071,0.03691533,0.027213909,105143,0.0011540983,3.6526995e-05,230400
Transformer-reconstruction,125-lay3-mod32-lat4-ff196,43,50,110,0.8215321,0.82695854,0.6444188,0.922682,0.85359305,0.8019359,0.88574785,0.8284454,0.8332212,0.6586383,0.9256835,0.8625283,0.80584025,0.89018565,0.041720793,0.02685249,105143,0.0011523825,5.9921265e-05,230400
Transformer-reconstruction,125-lay3-mod32-lat4-ff196,44,80,110,0.8020243,0.81462884,0.6022415,0.9208302,0.81124467,0.8180413,0.88997346,0.80296737,0.81528044,0.60419124,0.92208946,0.81293976,0.81763464,0.89192057,0.029969655,0.026876979,105143,0.0011310789,2.7833343e-05,230400
Transformer-reconstruction,126-lay3-mod32-lat8-ff196,42,50,110,0.8118863,0.82316107,0.62223715,0.92428267,0.82299376,0.82332844,0.8961033,0.8165066,0.8262757,0.6319378,0.9229569,0.8320686,0.8205629,0.89145553,0.01488236,0.008064669,105403,0.0011324127,3.1256724e-05,230400
Transformer-reconstruction,126-lay3-mod32-lat8-ff196,43,60,110,0.8033652,0.81319857,0.6058293,0.9176239,0.82170737,0.80486417,0.88656795,0.79890126,0.8079164,0.5973594,0.9152714,0.8209757,0.795266,0.88131505,0.012836662,0.0087172575,105403,0.0011248972,2.7139511e-05,230400
Transformer-reconstruction,126-lay3-mod32-lat8-ff196,44,80,110,0.7838574,0.79140055,0.56832725,0.90932745,0.8128805,0.7710265,0.8749697,0.78514576,0.79292953,0.5707477,0.90712696,0.8133071,0.77354807,0.86857736,0.00997921,0.008663652,105403,0.0011347068,3.2710363e-05,230400
Transformer-reconstruction,127-lay3-mod32-lat12-ff196,42,60,110,0.77918595,0.79023707,0.55732715,0.9045845,0.79847217,0.7821702,0.860672,0.779955,0.78917485,0.5596836,0.90272015,0.8044782,0.7744428,0.8570338,0.0075214426,0.0039786994,105663,0.001122688,3.158909e-05,230400
Transformer-reconstruction,127-lay3-mod32-lat12-ff196,43,60,110,0.7850253,0.79651165,0.5687557,0.90073943,0.80189615,0.79119897,0.8583896,0.7756294,0.78605896,0.55053246,0.89709836,0.79733914,0.77509356,0.8521409,0.005851458,0.003186965,105663,0.0011609788,3.5187713e-05,230400
Transformer-reconstruction,127-lay3-mod32-lat12-ff196,44,60,110,0.78338164,0.8031756,0.56451964,0.9144208,0.7770342,0.8311371,0.88235706,0.7870923,0.8055314,0.5718789,0.9139108,0.7831899,0.82918495,0.87999815,0.00719882,0.00363671,105663,0.0011511415,2.8850409e-05,230400
Transformer-reconstruction,128-lay3-mod32-lat16-ff196,42,60,110,0.79441154,0.80077124,0.5899961,0.8990506,0.8260832,0.77696437,0.8563585,0.7869193,0.7910941,0.5766679,0.89562154,0.8264221,0.75866276,0.8498281,0.004870334,0.002779605,105923,0.0011584553,2.9304258e-05,230400
Transformer-reconstruction,128-lay3-mod32-lat16-ff196,43,50,110,0.7684156,0.79002273,0.5342947,0.9049832,0.76279914,0.81926143,0.8685899,0.77113074,0.79081166,0.53962725,0.9048901,0.76936686,0.8134863,0.86658436,0.0055569015,0.0023638862,105923,0.0011462336,3.3863565e-05,230400
